OID,FID,COUNT,AREA,MAX
-1,7,1,0.250000000000000,0.070999979972839
-1,35,1,0.250000000000000,0.041000008583069
-1,80,2,0.500000000000000,0.089255690574646
-1,109,1,0.250000000000000,0.040157914161682
-1,118,3,0.750000000000000,0.098000049591064
-1,122,3,0.750000000000000,0.044142007827759
-1,136,1,0.250000000000000,0.058769226074219
-1,153,3,0.750000000000000,0.041181679815054
-1,155,7,1.750000000000000,0.072000026702881
-1,177,1,0.250000000000000,0.051999926567078
-1,180,1,0.250000000000000,0.053867697715759
-1,189,1,0.250000000000000,0.058999896049500
-1,192,1,0.250000000000000,0.040000081062317
-1,221,8,2.000000000000000,0.114678621292114
-1,256,1,0.250000000000000,0.054428577423096
-1,260,1,0.250000000000000,0.051178574562073
-1,261,4,1.000000000000000,0.196697592735291
-1,289,7,1.750000000000000,0.061232566833496
-1,306,7,1.750000000000000,0.075983285903931
-1,307,10,2.500000000000000,0.082158803939819
-1,374,8,2.000000000000000,0.089678645133972
-1,392,1,0.250000000000000,0.056333422660828
-1,425,2,0.500000000000000,0.277500152587891
-1,426,4,1.000000000000000,0.100600883364677
-1,461,2,0.500000000000000,0.042346239089966
-1,468,2,0.500000000000000,0.090000033378601
-1,497,6,1.500000000000000,0.083678603172302
-1,516,1,0.250000000000000,0.041000008583069
-1,519,2,0.500000000000000,0.045035719871521
-1,525,2,0.500000000000000,0.044562458992004
-1,526,4,1.000000000000000,0.059999942779541
-1,536,4,1.000000000000000,0.072678565979004
-1,558,1,0.250000000000000,0.057000041007996
-1,599,2,0.500000000000000,0.041807770729065
-1,622,9,2.250000000000000,0.090833306312561
-1,632,2,0.500000000000000,0.079421743750572
-1,639,1,0.250000000000000,0.107571363449097
-1,644,1,0.250000000000000,0.049999952316284
-1,648,8,2.000000000000000,0.104169487953186
-1,665,4,1.000000000000000,0.070999979972839
-1,667,9,2.250000000000000,0.076769232749939
-1,670,4,1.000000000000000,0.054769158363342
-1,675,1,0.250000000000000,0.050681829452515
-1,708,6,1.500000000000000,0.060533285140991
-1,725,1,0.250000000000000,0.041948199272156
-1,739,4,1.000000000000000,0.038828402757645
-1,743,5,1.250000000000000,0.086678624153137
-1,793,1,0.250000000000000,0.043999910354614
-1,795,37,9.250000000000000,0.362000107765198
-1,798,6,1.500000000000000,0.059000015258789
-1,806,2,0.500000000000000,0.109000086784363
-1,817,1,0.250000000000000,0.059035181999207
-1,818,1,0.250000000000000,0.067999958992004
-1,821,2,0.500000000000000,0.035984046757221
-1,822,2,0.500000000000000,0.120999991893768
-1,825,1,0.250000000000000,0.044175386428833
-1,826,2,0.500000000000000,0.044000029563904
-1,827,9,2.250000000000000,0.072083353996277
-1,851,3,0.750000000000000,0.200180053710938
-1,867,2,0.500000000000000,0.093999981880188
-1,878,4,1.000000000000000,0.089857220649719
-1,891,1,0.250000000000000,0.050999879837036
-1,913,2,0.500000000000000,0.057103395462036
-1,959,5,1.250000000000000,0.117087893188000
-1,960,10,2.500000000000000,0.074061624705791
-1,976,5,1.250000000000000,0.062769174575806
-1,978,1,0.250000000000000,0.042000055313110
-1,980,3,0.750000000000000,0.116255879402161
-1,983,2,0.500000000000000,0.059000015258789
-1,995,1,0.250000000000000,0.040326952934265
-1,1024,1,0.250000000000000,0.042365074157715
-1,1036,6,1.500000000000000,0.069045424461365
-1,1041,3,0.750000000000000,0.060574054718018
-1,1093,1,0.250000000000000,0.054090976715088
-1,1102,2,0.500000000000000,0.052999973297119
-1,1110,5,1.250000000000000,0.112150467932224
-1,1125,1,0.250000000000000,0.069000005722046
-1,1126,1,0.250000000000000,0.103999972343445
-1,1128,4,1.000000000000000,0.076994776725769
-1,1179,1,0.250000000000000,0.049678564071655
-1,1199,1,0.250000000000000,0.044833302497864
-1,1207,3,0.750000000000000,0.067000031471252
-1,1214,4,1.000000000000000,0.049417972564697
-1,1224,3,0.750000000000000,0.056294083595276
-1,1252,6,1.500000000000000,0.077678680419922
-1,1288,4,1.000000000000000,0.048697590827942
-1,1301,3,0.750000000000000,0.059370398521423
-1,1302,1,0.250000000000000,0.040571451187134
-1,1305,1,0.250000000000000,0.043000102043152
-1,1333,7,1.750000000000000,0.091533303260803
-1,1334,4,1.000000000000000,0.070533275604248
-1,1350,1,0.250000000000000,0.050108075141907
-1,1363,2,0.500000000000000,0.085000038146973
-1,1393,5,1.250000000000000,0.085999965667725
-1,1415,4,1.000000000000000,0.112678647041321
-1,1419,1,0.250000000000000,0.070999979972839
-1,1444,7,1.750000000000000,0.087452620267868
-1,1470,2,0.500000000000000,0.071676492691040
-1,1484,5,1.250000000000000,0.068678617477417
-1,1531,13,3.250000000000000,0.187000036239624
-1,1579,1,0.250000000000000,0.109000086784363
-1,1580,2,0.500000000000000,0.045881986618042
-1,1591,2,0.500000000000000,0.035298593342304
-1,1603,1,0.250000000000000,0.043253660202026
-1,1615,1,0.250000000000000,0.048370361328125
-1,1637,1,0.250000000000000,0.046000003814697
-1,1661,2,0.500000000000000,0.052999973297119
-1,1663,2,0.500000000000000,0.069220304489136
-1,1679,1,0.250000000000000,0.078000068664551
-1,1692,7,1.750000000000000,0.120678663253784
-1,1693,1,0.250000000000000,0.063000082969666
-1,1704,4,1.000000000000000,0.081356048583984
-1,1729,4,1.000000000000000,0.058697700500488
-1,1740,4,1.000000000000000,0.121285676956177
-1,1742,2,0.500000000000000,0.044685125350952
-1,1764,2,0.500000000000000,0.042254567146301
-1,1770,2,0.500000000000000,0.071678638458252
-1,1786,4,1.000000000000000,0.081000089645386
-1,1796,1,0.250000000000000,0.067000031471252
-1,1801,2,0.500000000000000,0.147279024124146
-1,1854,28,7.000000000000000,0.140333294868469
-1,1875,1,0.250000000000000,0.047999978065491
-1,1890,2,0.500000000000000,0.071999907493591
-1,1915,2,0.500000000000000,0.055678606033325
-1,1916,5,1.250000000000000,0.097678661346436
-1,1927,2,0.500000000000000,0.047482728958130
-1,1938,2,0.500000000000000,0.089833378791809
-1,1939,4,1.000000000000000,0.085833311080933
-1,1948,2,0.500000000000000,0.059000015258789
-1,1962,2,0.500000000000000,0.090000033378601
-1,1963,1,0.250000000000000,0.044000029563904
-1,1969,3,0.750000000000000,0.089769244194031
