FID,COUNT,AREA,MAX
7,1,0.250000000000000,1.723999977111816
35,1,0.250000000000000,1.672999978065491
80,2,0.500000000000000,1.583255648612976
109,1,0.250000000000000,1.699000000953674
118,3,0.750000000000000,1.590000033378601
122,3,0.750000000000000,1.575142025947571
136,1,0.250000000000000,1.547769188880920
153,3,0.750000000000000,1.488258838653564
155,7,1.750000000000000,1.662574648857117
177,1,0.250000000000000,1.646999955177307
180,1,0.250000000000000,1.601867675781250
189,1,0.250000000000000,1.605999946594238
192,1,0.250000000000000,1.664000034332275
221,8,2.000000000000000,1.688678622245789
256,1,0.250000000000000,1.636768221855164
260,1,0.250000000000000,1.670178532600403
261,4,1.000000000000000,1.687499642372131
278,1,0.250000000000000,1.855000019073486
289,7,1.750000000000000,1.509999990463257
306,7,1.750000000000000,1.698262929916382
307,10,2.500000000000000,1.562346100807190
374,8,2.000000000000000,1.659990787506104
392,1,0.250000000000000,1.708333373069763
425,2,0.500000000000000,2.186000108718872
426,4,1.000000000000000,1.488824605941772
461,2,0.500000000000000,1.695000052452087
468,2,0.500000000000000,1.850980997085571
497,6,1.500000000000000,1.663037538528442
516,1,0.250000000000000,1.697000026702881
519,2,0.500000000000000,1.611999988555908
525,2,0.500000000000000,1.583999991416931
526,4,1.000000000000000,1.675999999046326
536,4,1.000000000000000,1.688678622245789
558,1,0.250000000000000,1.689000010490417
599,2,0.500000000000000,1.694000005722046
622,9,2.250000000000000,1.549999952316284
632,2,0.500000000000000,1.426802039146423
639,1,0.250000000000000,1.547571420669556
644,1,0.250000000000000,1.769999980926514
648,8,2.000000000000000,1.577169537544250
665,4,1.000000000000000,1.697000026702881
667,9,2.250000000000000,1.547769188880920
670,4,1.000000000000000,1.547769188880920
675,1,0.250000000000000,1.651681780815125
708,6,1.500000000000000,1.656650185585022
725,1,0.250000000000000,1.991999983787537
739,4,1.000000000000000,1.491055011749268
743,5,1.250000000000000,1.688678622245789
793,1,0.250000000000000,1.562999963760376
795,37,9.250000000000000,2.458250045776367
798,6,1.500000000000000,1.590000033378601
806,2,0.500000000000000,1.817999958992004
817,1,0.250000000000000,1.746000051498413
818,1,0.250000000000000,1.794999957084656
821,2,0.500000000000000,1.493953466415405
822,3,0.750000000000000,1.850000023841858
825,1,0.250000000000000,1.690999984741211
826,2,0.500000000000000,1.675999999046326
827,9,2.250000000000000,1.545866370201111
851,3,0.750000000000000,2.202062845230103
867,2,0.500000000000000,1.632027626037598
878,4,1.000000000000000,1.749857187271118
891,1,0.250000000000000,2.447999954223633
913,2,0.500000000000000,1.664999961853027
959,5,1.250000000000000,1.558948755264282
960,10,2.500000000000000,1.613457322120667
976,5,1.250000000000000,1.547769188880920
978,1,0.250000000000000,1.781000018119812
980,3,0.750000000000000,1.960000038146973
983,2,0.500000000000000,1.590000033378601
995,1,0.250000000000000,1.708999991416931
1024,1,0.250000000000000,1.531000018119812
1036,6,1.500000000000000,1.687000036239624
1041,3,0.750000000000000,1.638574123382568
1093,1,0.250000000000000,1.687000036239624
1102,2,0.500000000000000,1.661000013351440
1110,5,1.250000000000000,1.589810490608215
1125,1,0.250000000000000,1.679286479949951
1126,1,0.250000000000000,1.670301437377930
1128,4,1.000000000000000,1.665004014968872
1179,1,0.250000000000000,1.688678622245789
1199,1,0.250000000000000,1.509999990463257
1207,3,0.750000000000000,1.687000036239624
1214,4,1.000000000000000,1.476420164108276
1224,3,0.750000000000000,1.708999991416931
1252,6,1.500000000000000,1.688678622245789
1288,4,1.000000000000000,1.720697641372681
1301,3,0.750000000000000,1.703999996185303
1302,1,0.250000000000000,1.764999985694885
1305,1,0.250000000000000,1.639000058174133
